#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
  11.9000000   -1.4477778273e-15   -3.7002268581e-16    2.8098838565e-15   -5.6340281020e-16
  12.0000000   -3.9407974585e-15    1.9093470269e-15   -3.0542462511e-15   -9.2485060100e-16
  12.1000000   -4.0915717217e-17    5.5666786097e-15    4.6307433740e-15   -7.3399365652e-16
  12.2000000   -8.9536526852e-16    3.0875592582e-15    1.7570993512e-15   -1.0160088328e-15
  12.3000000    3.0790849505e-16    3.4047430055e-15    4.0091421551e-15    1.8923941567e-15
  12.4000000   -7.3277269431e-16    5.4872309167e-15    2.5962504595e-15    5.8248646091e-15
  12.5000000   -7.9045803900e-17    3.1160565301e-15   -2.0642716254e-15    4.0286717860e-15
  12.6000000   -3.1402179087e-15    3.9221873772e-15   -4.6858624228e-16    4.1343725198e-15
  12.7000000   -1.0550541375e-14    4.0021984530e-15    4.9961237510e-15    7.2918145274e-15
  12.8000000   -6.2777540897e-15    2.5097021419e-15   -3.5049404723e-15   -4.7285219306e-15
  12.9000000   -3.1460835127e-15    4.4379213086e-15   -5.5426138338e-15   -4.4325055808e-15
  13.0000000   -2.3533743028e-15   -5.7585184059e-16   -1.0938453866e-14   -7.4458081921e-16
  13.1000000   -2.5507132411e-15    9.8611411848e-16   -8.6037557526e-15    5.1498363508e-16
  13.2000000    1.6102552444e-15   -5.0310859308e-16   -9.7506281545e-15    4.1272834593e-15
  13.3000000    1.7698387121e-15   -7.6975543311e-16   -1.1379657513e-14    4.2343712897e-15
  13.4000000    5.4119390697e-15   -3.7834434365e-16   -5.3426780770e-15    6.6645691606e-15
  13.5000000    9.7938412840e-16   -3.7875501842e-15   -2.8854243335e-15    7.9497440303e-15
  13.6000000   -1.2645574195e-15   -3.1636292319e-15    1.2481493629e-14    1.2308520424e-14
  13.7000000   -2.9716554940e-15   -3.2290594327e-15    3.7628913452e-15    1.4543168368e-14
  13.8000000   -2.0334466029e-15   -1.7384452596e-15    5.6151218789e-15    9.1046122245e-15
  13.9000000   -3.0870730869e-15   -2.5263808346e-15    6.0432656079e-15    7.8764141074e-15
  14.0000000    6.6814284364e-16   -1.1758251771e-15    2.1189370687e-15    3.5000153698e-15
  14.1000000    5.5007291481e-15   -6.3456331827e-16    7.4744201013e-17    4.6262849504e-16
  14.2000000    1.2771686074e-15   -1.9651273473e-16   -6.5015594180e-15   -3.7318496658e-15
  14.3000000    1.2603898032e-15   -3.3801627946e-16   -3.2908628819e-15   -5.7513949518e-15
  14.4000000   -5.5010470246e-15   -1.0467464585e-15   -8.2811240356e-15   -4.8457556323e-15
  14.5000000   -5.0934791629e-15   -4.0240334759e-16   -1.1595533419e-14   -1.9315377421e-15
  14.6000000   -9.3947029384e-15    7.1588311238e-16    7.5600784925e-15    3.7705366997e-15
  14.7000000   -7.1299653475e-15    3.1661493277e-16    1.1844509627e-14    6.4460149577e-15
  14.8000000   -9.5355800568e-15   -3.0854121895e-16    6.1578010452e-15    7.4922026036e-15
  14.9000000   -7.3294154845e-15    3.5999214278e-15    6.3531359118e-15    9.2917360475e-15
  15.0000000   -1.8977199973e-15    2.4753870220e-15    6.7668588388e-15    9.6121292470e-15
  15.1000000   -2.8546212570e-16    2.1068703777e-15    1.0112579517e-16    1.4830188932e-14
  15.2000000    6.2368933850e-15   -2.2452672519e-16    6.8802452136e-15    1.4807081184e-14
